a,b,
17.96,2.32E-05,
17.96,2.56E-05,
17.96,3.00E-05,
17.96,3.86E-05,
17.96,5.52E-05,
17.96,8.71E-05,
17.96,0.00014824,
17.96,0.00026559,
17.958,0.00049156,
17.95,0.00096283,
17.921,0.0018715,
17.874,0.0027655,
17.809,0.00365,
17.724,0.0045361,
17.618,0.0054271,
17.487,0.0063324,
17.327,0.0072555,
17.13,0.0082055,
16.888,0.0091922,
16.58,0.010224,
16.189,0.011305,
15.67,0.012427,
15.046,0.013474,
14.413,0.014317,
13.803,0.015194,
13.676,0.015499,
13.618,0.015725,
13.592,0.015865,
13.577,0.015963,
13.567,0.016043,
13.561,0.016117,
13.558,0.016203,
