a,b
17.95,0.0348
18.05,0.0345
18.15,0.0342
18.25,0.034
18.35,0.0337
18.45,0.0333
18.55,0.033
18.65,0.0327
18.75,0.0324
18.85,0.0321
18.95,0.0318
19.05,0.0315
19.15,0.0312
19.25,0.0308
19.35,0.0305
19.45,0.0302
19.55,0.0298
19.65,0.0295
19.75,0.0291
19.85,0.0288
19.95,0.0284
20.05,0.0281
20.15,0.0277
20.25,0.0274
20.35,0.027
20.45,0.0266
20.55,0.0262
20.65,0.0258
20.75,0.0254
20.85,0.025
20.95,0.0246
21.05,0.0242
21.15,0.0238
21.25,0.0234
21.35,0.0229
21.45,0.0225
21.55,0.022
21.65,0.0216
21.75,0.0211
21.85,0.0206
21.95,0.0201
22.05,0.0196
22.15,0.0191
22.25,0.0185
22.35,0.018
22.45,0.0174
22.55,0.0168
22.65,0.0162
22.75,0.0156
22.85,0.0149
22.95,0.0142
23.05,0.0135
23.15,0.0127
23.25,0.0119
23.35,0.011
23.45,0.0101
23.55,0.009
23.65,0.0078
23.75,0.0064
23.85,0.0045
23.95,0
